id,group,section,where,finding,current text on the page,suggested fix,your decision
11,A,A. Wrong or self-contradictory,docsrc/development/trace-and-validation.html:1; docsrc/development/code-editor.html:79; docsrc/runtime/compile-rules.html:1,"docsrc/development/trace-and-validation.html:1 ""the agent server checks the draft and then runs it"" vs code-editor.html:79 ""Validation in the cloud has the final say"" and compile-rules.html:1 — the lead should say stage one is the cloud's, stage two the agent server's (its own lines 6-7 do).","docsrc/development/trace-and-validation.html:1: Before a draft can be published, it has to validate: the agent server checks the draft and then runs it against a sample question. Validation proves that the agent passes the schema and security checks, finds everything it needs in your account, and runs to the end. Publish stays unavailable until it does. Validation happens in the draft editor, on the Validate tab below the agent definition.
docsrc/development/code-editor.html:79: The editor is a first line of defence. Validation in the cloud has the final say when you validate and publish.
docsrc/runtime/compile-rules.html:1: The compile rules decide what an expression may contain: for each of the ten binary operators, whether an expression may use the operator as Python does, may not use the operator at all, or has the operator replaced by a function of your own; how deep a comprehension may go; and the shapes of expression that are never allowed. Search2o Cloud applies the rules only when a draft is validated or published. A changed rule does not touch an agent that is already published. Developers edit the rules in the GUI under Guardrails.","Lead: 'it has to validate: Search2o Cloud checks the definition, then the agent server runs it against a sample question.'",
12,A,A. Wrong or self-contradictory,docsrc/runtime/compile-rules.html:12; docsrc/runtime/allowlist.html:91,"docsrc/runtime/compile-rules.html:12 — ""put the function on the allowlist ... on every agent server"" — the allowlist is per account; the package is what goes on every agent server (allowlist.html:91 has it right).","docsrc/runtime/compile-rules.html:12: Every use of a rewritten operator becomes a call to the named function with the operator's two operands: a ** b becomes bounded_pow(a, b). Write the function yourself, and put the function on the allowlist under the name you enter, on every agent server.
docsrc/runtime/allowlist.html:91: The allowlist is also how your own code enters the runtime. Install the package beside the agent server, on every agent server, and name it in the allowlist.","'... put the function on the allowlist under the name you enter, and install the package on every agent server.'",
13,A,A. Wrong or self-contradictory,"docsrc/agent-definition/variables.html:27,28,29,30,31; docsrc/agent-definition/python-expressions.html:74","docsrc/agent-definition/variables.html:27-31 — the admin-enabled sys names omit `sys.cookies`, which python-expressions.html:74 and the model list.","docsrc/agent-definition/variables.html:27: (markup only) <ul>
docsrc/agent-definition/variables.html:28: sys.userEmail — the email address of the user running the agent.
docsrc/agent-definition/variables.html:29: sys.userSession — a hash of the user's session, for keying per-session data.
docsrc/agent-definition/variables.html:30: sys.serverIp — the agent server's address as seen by the cloud, for logging.
docsrc/agent-definition/variables.html:31: (markup only) </ul>
docsrc/agent-definition/python-expressions.html:74: A member of sys that does not exist is refused. sys.inputs, sys.query, sys.secret and sys.exists are always present. sys.userEmail, sys.userSession, sys.serverIp and sys.cookies are present only when an administrator enables them. See System variables.",Add sys.cookies to the list of admin-enabled names on variables.html.,
14,A,A. Wrong or self-contradictory,docsrc/agent-definition/variables.html:23,"docsrc/agent-definition/variables.html:23 — ""sys.secret[name] reads a secret from the agent server's environment"" — a secret can come from the environment, a file, the vault or a vault function (secret-vault page).",docsrc/agent-definition/variables.html:23: sys.secret[name] — reads a secret from the agent server's environment; see Security.,"'sys.secret[name] reads a secret. Where secrets come from - the environment, a file, the vault or your own function - is on Secret vault.'",
15,A,A. Wrong or self-contradictory,"docsrc/agent-definition/python-expressions.html:27,28",docsrc/agent-definition/python-expressions.html:27-28 — the with/without-await pair calls `fetch_url_profile` and `fetch_user_profile`; one name meant.,"docsrc/agent-definition/python-expressions.html:27: ""profile1"": ""{ await fetch_url_profile(user_id) }"",
docsrc/agent-definition/python-expressions.html:28: ""profile2"": ""{ fetch_user_profile(user_id) }"", // a bare async call is awaited for you",Use one function name in both lines (fetch_user_profile).,
16,A,A. Wrong or self-contradictory,"docsrc/agent-definition/python-expressions.html:116,117","docsrc/agent-definition/python-expressions.html:116-117 — ""The agent gets the module's functions, classes and constants"" then ""A name under a granted module that the allowlist does not list is refused"" — read together they contradict; line 117 presumably means submodules and imported modules.","docsrc/agent-definition/python-expressions.html:116: A module in the allowlist is not handed over as a module. The agent gets the module's functions, classes and constants. The agent does not get the other modules that the module imports. So granting json does not also grant the modules that json uses internally.
docsrc/agent-definition/python-expressions.html:117: A name under a granted module that the allowlist does not list is refused when the line runs. The entry forms are described under Allowlist.",Line 117: 'A module that the granted module imports is not granted with it; list that module on its own.',
17,A,A. Wrong or self-contradictory,docsrc/agent-definition/python-expressions.html:1,"docsrc/agent-definition/python-expressions.html:1 — ""from the moment a developer saves an agent"" — the checks run at validation (line 41), not on save.","docsrc/agent-definition/python-expressions.html:1: An agent is written in JSON. The string values in that JSON can be Python expressions; a key cannot be an expression. This page explains what Search2o does with those expressions, from the moment a developer saves an agent to the moment the expression runs.",'from the moment a developer validates an agent' (or 'publishes').,
18,A,A. Wrong or self-contradictory,docsrc/agent-execution/conversation-state.html:1,"docsrc/agent-execution/conversation-state.html:1 — state is stored ""each time an agent completes successfully"" vs line 14, which also saves it on an `ask` pause.","docsrc/agent-execution/conversation-state.html:1: Each time an agent completes successfully, the conversation state is encrypted and stored in Search2o Cloud. A follow-up query in the same conversation restores the state and runs the selected agent with that context.","Lead: 'Each time an agent ends successfully or pauses on an ask, ...'",
19,A,A. Wrong or self-contradictory,docsrc/security/encryption.html:9; docsrc/security/data-privacy.html:20,"docsrc/security/encryption.html:9 — end-to-end: ""nobody outside your organization can read the state, the queries, the prompt profiles or the hosted secrets"" vs data-privacy.html:20, which files the query under ""leaves in plain form"" (the cloud reads it to match). Drop ""the queries"".","docsrc/security/encryption.html:9: With encryptionSource set to client, the key never leaves your organization, and nobody outside your organization can read the state, the queries, the prompt profiles or the hosted secrets.
docsrc/security/data-privacy.html:20: The user's queryFinds the matching agent. The shortened query is then stored encrypted as the conversation title, and the full query is stored encrypted on the execution record.Only the user who typed itTitle: with the conversation. Execution record: 7 days on the Free plan, 90 days on Paid",Drop 'the queries' from the list (the cloud reads the query to match it).,
20,A,A. Wrong or self-contradictory,docsrc/security/secret-vault.html:4; docsrc/security/data-privacy.html:13; docsrc/gui/profiles.html:9,"docsrc/security/secret-vault.html:4 — ""Agent definitions and profiles are stored in Search2o Cloud in plain form"" vs data-privacy.html:13 / gui/profiles.html:9 (prompt profiles are encrypted).","docsrc/security/secret-vault.html:4: Agent definitions and profiles are stored in Search2o Cloud in plain form and are visible to every developer. A secret written into either would be visible to the same people and would leave your organization. With sys.secret, the definition carries only a name, and the value exists only on the agent server, at runtime, in memory.
docsrc/security/data-privacy.html:13: Prompt profilesthe system and user prompt text; a prompt written in an agent is stored in plain form with the agentDevelopers and above, through the GUI; the account's agent servers decrypt them at runtimeLife of the profile
docsrc/gui/profiles.html:9: Reusable system and user prompts, stored encrypted. See Prompt profiles.","'Agent definitions, and every profile other than a prompt profile, are stored in Search2o Cloud in plain form.'",
21,A,A. Wrong or self-contradictory,docsrc/security/secret-vault.html:13,"docsrc/security/secret-vault.html:13 — ""A file can be rotated in place without restarting the server, although a value already read is cached until the server restarts"" — the two halves cancel.","docsrc/security/secret-vault.html:13: secretSource set to file. The transformed name is a file path, and the file's contents, trimmed, are the secret. Choose this source when secrets arrive as mounted volumes: a Kubernetes secret, a Docker secret, or a file written by a vault agent. A file can be rotated in place without restarting the server, although a value already read is cached until the server restarts.",'A rotated file takes effect when the agent server restarts; a value already read is cached until then.',
22,A,A. Wrong or self-contradictory,docsrc/search/describing-an-agent.html:1,"docsrc/search/describing-an-agent.html:1 ""in plain English"" vs :16 ""Descriptions and queries may be in any major language"".","docsrc/search/describing-an-agent.html:1: After an agent is published, its developer describes the agent in plain English. Search2o uses the description to match user queries with the most relevant agent. An agent without a description cannot be found by search.",Lead: 'describes the agent in plain language'.,
23,A,A. Wrong or self-contradictory,docsrc/gui/agents.html:9,"docsrc/gui/agents.html:9 — screenshot caption ""Ask AI opens beside the definition"" vs line 8 (Draft with AI, below it).","docsrc/gui/agents.html:9: (markup only) <!--shot:gui-draft-edit|600|The draft editor: name, title and tag above the definition editor|The draft editor. Name, title and tag sit above the definition; Ask AI opens beside the definition.-->","Caption: 'The draft editor. Name, title and tag sit above the definition; Draft with AI and Validate sit below it.'",
24,A,A. Wrong or self-contradictory,docsrc/support-licensing/support.html:14; docsrc/system-management/agent-servers.html:32,"docsrc/support-licensing/support.html:14 — ""what each running server found when the server loaded the configuration, including allowlist entries the server could not resolve"" — describes a GUI feature that agent-servers.html:32 says does not exist (errors go to the agent server's log).","docsrc/support-licensing/support.html:14: Agent servers — what each running server found when the server loaded the configuration, including allowlist entries the server could not resolve.
docsrc/system-management/agent-servers.html:32: Problems found at startup — an allowlist entry the server cannot import, or an LLM adapter that fails to instantiate — are written to the server's log. Errors are logged locally on the server and do not appear in the GUI.","Drop the bullet, or make it: 'the agent server's log - startup errors such as an LLM adapter that fails to load'.",
25,A,A. Wrong or self-contradictory,docsrc/system-management/agent-servers.html:1,"docsrc/system-management/agent-servers.html:1 — lead promises ""and what they report""; that section was removed.","docsrc/system-management/agent-servers.html:1: An agent server is the Python process that runs agents inside your organization. The process is a FastAPI application served by Uvicorn, fully asynchronous, with exactly one worker. Run one server on a laptop or several behind a load balancer; any server can serve any request. Below: the command line, the addresses a server serves, how servers are configured, and what they report.",Drop 'and what they report' from the lead.,
26,A,A. Wrong or self-contradictory,docsrc/rest-api/workflows.html:7; docsrc/search/orchestrator.html:35; docsrc/search/orchestrator.html:60,"docsrc/rest-api/workflows.html:7 — ""invoke may not sit inside a loop"" — it is refused only in a `for` loop and is the recommended pattern in a `while` loop (search/orchestrator.html:35,60); the api-calls-execAgent workaround is now the harder path.","docsrc/rest-api/workflows.html:7: parallel runs a fixed set of functions, and invoke may not sit inside a loop. So “run the triage agent for each of these forty tickets” is written with the api command calling execAgent on the agent server itself, once per item. The calls go in a for loop. Each call is an ordinary agent run: recorded, reported and traced like any other.
docsrc/search/orchestrator.html:35: A request such as ""Has order 48812 shipped? If not, open a ticket with the warehouse"" is two requests. An LLM can split it into parts, and the orchestrator can take the parts one at a time in a while loop: search, invoke, next part. Each agent sees what the earlier ones left in conv variables, so the warehouse agent can read the order the first agent looked up. invoke cannot sit inside a for loop, because an invoked agent may pause on ask; a while loop can be paused and resumed.
docsrc/search/orchestrator.html:60: An agent cannot invoke itself or any agent already running in the chain, and invoke is not allowed inside a for loop or an onError block. See invoke.",'invoke may not sit inside a for loop; a while loop is the pattern (see Orchestrator).' Reconsider whether the api-calls-execAgent fan-out section is still worth keeping.,
27,A,A. Wrong or self-contradictory,docsrc/rest-api/overview.html:8; docsrc/rest-api/conversations.html:4; docsrc/rest-api/conversations.html:1,"docsrc/rest-api/overview.html:8 — ""/api/exec/ ... read a conversation"" — getConversation is under /api/user/ (conversations.html:4 says so); conversations.html:1 also names ""/api/user/ and /api/exec/"" where every endpoint on the page is /api/user/.","docsrc/rest-api/overview.html:8: /api/exec/Search, run an agent, read a conversationAny signed-in user
docsrc/rest-api/conversations.html:4: POST /api/user/getConversation with a convid returns the exchanges so far: for each run, the query, the response (the agent's name and its output parts) and respondedAt in epoch milliseconds. The state is decrypted on the agent server for this call; the cloud only ever holds the ciphertext.
docsrc/rest-api/conversations.html:1: A conversation is identified by its convid. The /api/user/ and /api/exec/ groups list, read, rename, pin and delete the caller's conversations.",Move 'read a conversation' to the /api/user/ row; conversations.html:1 says 'The /api/user/ group ...'.,
28,A,A. Wrong or self-contradictory,docsrc/rest-api/overview.html:1; docsrc/system-management/service-accounts.html:29; docsrc/rest-api/automating-with-an-llm.html:13,"docsrc/rest-api/overview.html:1 ""Every call is an HTTP POST"" vs :27 GET /health; same absolute in service-accounts.html:29 and automating-with-an-llm.html:13. ""Every call under /api/ is a POST"".","docsrc/rest-api/overview.html:1: Every call is an HTTP POST with a JSON body, under /api/ on the agent server. The GUI uses nothing else, so everything the GUI does is available to your own code.
docsrc/system-management/service-accounts.html:29: The program sends the key with every request, in an Authorization header. There is no sign-in call and no session. Every call to your agent server's API is a POST with a JSON body; finding an agent for a question, for example:
docsrc/rest-api/automating-with-an-llm.html:13: It helps to tell the model the base URL of the agent server, and that every endpoint is a POST with a JSON body.",'Every call under /api/ is an HTTP POST with a JSON body' (three places).,
29,A,A. Wrong or self-contradictory,docsrc/rest-api/automating-with-an-llm.html:25; docsrc/rest-api/overview.html:12,"docsrc/rest-api/automating-with-an-llm.html:25 — ""a user-role account suffices where a report is all that is needed"" vs :11 and overview.html:12 (reports need the developer role). Same line: ""shows the call in ... the audit log like any other"" — the audit log records changes, not calls.","docsrc/rest-api/automating-with-an-llm.html:25: A model with the schema can call anything the signed-in user may call, including deleteAgent, deleteUsers and updateRole. The role of the automation user is the boundary. The role is best kept as low as the task allows, and a user-role account suffices where a report is all that is needed. Every call the model makes is an ordinary API call. Search2o Cloud checks the call against the role, records the call against the automation user, and shows the call in the reports and the audit log like any other.
docsrc/rest-api/overview.html:12: /api/reports/The four reports and their detail viewsDevelopers; the usage report needs an administrator",'a developer-role service account suffices where a report is all that is needed'; and 'shows the call in the reports' (drop 'and the audit log').,
30,A,A. Wrong or self-contradictory,docsrc/rest-api/workflows.html:4; docsrc/rest-api/automating-with-an-llm.html:25,"docsrc/rest-api/workflows.html:4 ""Run these as a dedicated user"" and automating-with-an-llm.html:25 ""the signed-in user / the automation user"" — pre-service-account vocabulary; a service account never signs in.","docsrc/rest-api/workflows.html:4: A scheduler or a webhook receiver that calls execAgent turns any agent into a scheduled job or an event handler: a morning digest, a handler for a new ticket, a check that runs every hour. Where the result should go — mail, chat, a ticket — is one more api command at the end of the agent. Run these as a dedicated user, so the reports show what the schedule did.
docsrc/rest-api/automating-with-an-llm.html:25: A model with the schema can call anything the signed-in user may call, including deleteAgent, deleteUsers and updateRole. The role of the automation user is the boundary. The role is best kept as low as the task allows, and a user-role account suffices where a report is all that is needed. Every call the model makes is an ordinary API call. Search2o Cloud checks the call against the role, records the call against the automation user, and shows the call in the reports and the audit log like any other.",Replace 'a dedicated user' / 'the signed-in user' / 'the automation user' with 'a service account' throughout.,
31,A,A. Wrong or self-contradictory,docsrc/system-management/usage-limits.html:1; docsrc/system-management/usage-limits.html:7,"docsrc/system-management/usage-limits.html:1,7 — ""long-term memory searches"" is named as a meter; the pricing page no longer has that row. Line 4 says only executions are pooled; line 7 says executions, searches and memory searches; the pricing page's ** marks four rows. Three sources, three answers.","docsrc/system-management/usage-limits.html:1: Usage limits help us protect the resources behind the service. Each plan comes with monthly allowances for agent executions, searches, long-term memory searches, indexing and AI assistance; the allowances are on the Pricing page.
docsrc/system-management/usage-limits.html:7: Reaching a limit shows an error message in the GUI. On the Free plan, the limit holds until the month resets. On the Paid plan, agent executions, searches and long-term memory searches beyond the pooled allowances continue and are billed at the rates on the Pricing page; the indexing and AI assistance allowances grow by adding members. If you see a limit you did not expect, please reach out to us.","Make usage-limits.html match the pricing page: the meters are agent executions, agent indexing, searches and AI assistance; all four are pooled across the account on the Paid plan; long-term memory is a per-member cap, not a meter.",
32,A,A. Wrong or self-contradictory,docsrc/system-management/agent-server-sizing.html:23,"docsrc/system-management/agent-server-sizing.html:23 — ""A model at 1.5s per run fills an agent server with three times as many runs as one at 4.5s"" — by the page's own formula the 4.5s model holds three times as many runs at once; say which quantity is meant. (Ram's md.)",docsrc/system-management/agent-server-sizing.html:23: A model at 1.5s per run fills an agent server with three times as many runs as one at 4.5s.,"Say which quantity: 'At the same throughput, a model that answers in 1.5 s keeps a third as many runs in flight as one that takes 4.5 s' (or restate with the formula).",
33,A,A. Wrong or self-contradictory,docsrc/chat-integrations/chat-applications.html:8; docsrc/chat-integrations/running-an-agent.html:27; docsrc/chat-integrations/ai-prompts.html:134,"docsrc/chat-integrations/chat-applications.html:8 ""Slack has no masked input, so never collect a password or a token in a Slack form"" vs running-an-agent.html:27 (""Every chat application can render all five in a form"") and ai-prompts.html:134 (""password to plain text"", which tells the Slack bot to collect a password in plain text).","docsrc/chat-integrations/chat-applications.html:8: The connect flow uses an ordinary link button. Slack has no masked input, so never collect a password or a token in a Slack form.
docsrc/chat-integrations/running-an-agent.html:27: An agent can pause and ask the person for input. The response then carries the message to show and the list of inputs to collect. Each input has a type: a line of text, a password, a longer block of text, a choice of one, or a choice of several. Every chat application can render all five in a form.
docsrc/chat-integrations/ai-prompts.html:134: - Map the input types to Slack blocks: str to plain text, password to plain text, text to","Pick one rule for Slack and apply it on all three pages. Suggested: forms can carry a password field, but a Slack form shows it in plain text, so the Slack prompt should send the person to the GUI for a password input.",
34,A,A. Wrong or self-contradictory,docsrc/chat-integrations/finding-an-agent.html:20,"docsrc/chat-integrations/finding-an-agent.html:20 (the behaviour values are guidance; a bot may take its own line) vs :29 (""Let the behaviour decide whether to show a picker at all. A rule of your own is likely to surprise people"").","docsrc/chat-integrations/finding-an-agent.html:20: Both values are guidance, not a rule the bot must follow. They carry the account’s preference, and a bot may take its own line. A bot that always runs the top match, for example, feels more like a conversation and less like a search page. The cost is that the person is never offered a choice when the match is uncertain. Either suits, as long as the bot stays consistent.",Delete line 29's 'Let the behaviour decide ... A rule of your own is likely to surprise people' (line 20 is the approved position).,
35,A,A. Wrong or self-contradictory,docsrc/chat-integrations/integration-tokens.html:18,"docsrc/chat-integrations/integration-tokens.html:18 — ""Pasting a token becomes the only route for people who never open the GUI, so prefer the connect flow"" — inverted: a pasted token is created in the GUI; the connect flow is the route that needs no GUI visit.","docsrc/chat-integrations/integration-tokens.html:18: Two points are worth planning for. Pasting a token becomes the only route for people who never open the GUI, so prefer the connect flow. Resetting a password no longer applies, because passwords live with the identity provider, so a token then ends when the person revokes it or the person is deleted. Disabling somebody at the identity provider does not end their Search2o tokens; remove the person in Search2o as well.","'The connect flow is the route for people who never open the GUI, so it is the one to prefer.'",
36,A,A. Wrong or self-contradictory,docsrc/chat-integrations/running-an-agent.html:29,"docsrc/chat-integrations/running-an-agent.html:29 — ""the answers arrive while the bot is replying to a message"" — it is the ask that arrives then.","docsrc/chat-integrations/running-an-agent.html:29: Slack needs one extra step. A form there can only be opened in response to a click, and the answers arrive while the bot is replying to a message. The usual way round it is a message with an Answer button, with the form opening when that button is pressed.",'... and the ask arrives while the bot is handling a message event.',
37,A,A. Wrong or self-contradictory,docsrc/chat-integrations/ai-prompts.html:139,"docsrc/chat-integrations/ai-prompts.html:139 — ""Upload image parts with files.upload"" — Slack retired files.upload (sunset March 2025); generated code fails. files.uploadV2 / getUploadURLExternal + completeUploadExternal.",docsrc/chat-integrations/ai-prompts.html:139: - Upload image parts with files.upload and post them in the thread.,Replace files.upload with files.uploadV2 (files.getUploadURLExternal + files.completeUploadExternal).,
38,A,A. Wrong or self-contradictory,"docsrc/chat-integrations/ai-prompts.html:70,71","docsrc/chat-integrations/ai-prompts.html:70-71 — mustLogin is lumped with ""failed; tell the person""; the bot is never told to forget the token and re-run the connect flow, so after a revoke it shows an error for ever.","docsrc/chat-integrations/ai-prompts.html:70: failCommand, errorInAgent, callFailed, timedOut, stopped, unexpected, mustLogin
docsrc/chat-integrations/ai-prompts.html:71: failed; tell the person, using error.message when present",Add to the reference: 'mustLogin - the token no longer works; forget it and run CONNECTING A PERSON again.',
39,A,A. Wrong or self-contradictory,docsrc/llm/index.html:1; docsrc/llm/code-from-llm.html:1,"docsrc/llm/index.html:1 ""running code that an LLM writes"" (and the toc title ""Executing code from an LLM"") vs llm/code-from-llm.html:1 ""Search2o will never execute arbitrary Python code"" — the lead promises what the page denies; the page is a roadmap note (""A future dynamic command"", ""Until the dynamic command ships"").","docsrc/llm/index.html:1: The three bundled vendors, connecting Search2o to any other LLM, and running code that an LLM writes.
docsrc/llm/code-from-llm.html:1: Search2o will never execute arbitrary Python code. A future dynamic command will let an LLM generate an agent in Search2o's own JSON format and execute that agent.","Cut the page to its tool-calling advice with a title such as 'Tool calling instead of generated code', or retire it; change the section lead and toc title to match.",
40,A,A. Wrong or self-contradictory,html/gettingstarted.html:45,"html/gettingstarted.html:45 — h1 ""From your laptop to production"" — the production/team steps were removed; the five steps end on the laptop.",html/gettingstarted.html:45: From your laptop to production,"Retitle, e.g. 'Up and running on your laptop' (the 09-07 title) or 'From install to your first search'.",
